comparison,metric,n_pairs,mean_a,mean_b,mean_delta_b_minus_a,median_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value
baseline_vs_full_vits_tone_2k,wer,50,1.0081197478991597,2.38327731092437,1.37515756302521,1.03125,48.5,2.0039197572403374e-08
baseline_vs_full_vits_tone_2k,cer,50,0.5309328067194063,1.7933102675651542,1.2623774608457476,0.9078629032258065,45.0,2.994404724177002e-11
baseline_vs_full_vits_no_tone_2k,wer,50,1.0081197478991597,1.8999579831932771,0.8918382352941177,0.84375,57.0,2.0825311603424137e-08
baseline_vs_full_vits_no_tone_2k,cer,50,0.5309328067194063,1.397668238996117,0.8667354322767109,0.8011684125705076,48.0,4.3806736016449577e-11
full_vits_no_tone_2k_vs_full_vits_tone_2k,wer,50,1.8999579831932771,2.38327731092437,0.48331932773109243,0.28125,368.5,0.015165534615786687
full_vits_no_tone_2k_vs_full_vits_tone_2k,cer,50,1.397668238996117,1.7933102675651542,0.3956420285690369,0.1696202531645571,389.0,0.041244277350980185
