comparison,metric,n_pairs,mean_a,mean_b,mean_delta_b_minus_a,median_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value
baseline_vs_tone_on,wer,50,1.0081197478991597,1.836218487394958,0.8280987394957984,0.40625,74.5,2.1722443306791716e-07
baseline_vs_tone_on,cer,50,0.5309328067194063,1.3813769735126016,0.8504441667931952,0.4815789473684211,46.0,3.40367733997482e-11
tone_off_vs_tone_on,wer,50,0.9134348739495798,1.836218487394958,0.9227836134453782,0.46875,69.0,6.316542741657992e-08
tone_off_vs_tone_on,cer,50,0.45867324232525375,1.3813769735126016,0.9227037311873479,0.4696969696969697,46.0,3.40367733997482e-11
