comparison,metric,n_pairs,mean_a,mean_b,mean_delta_b_minus_a,median_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value
baseline_vs_full_vits_tone_200,wer,50,1.0081197478991597,1.9682668067226892,0.9601470588235295,0.9099264705882353,71.5,4.6191788014428835e-08
baseline_vs_full_vits_tone_200,cer,50,0.5309328067194063,1.4929374077799502,0.9620046010605436,0.7651712583767685,80.0,1.4492140820721033e-09
baseline_vs_full_vits_no_tone_200,wer,50,1.0081197478991597,2.288056722689076,1.279936974789916,0.90625,0.0,7.465161150596747e-10
baseline_vs_full_vits_no_tone_200,cer,50,0.5309328067194063,1.8090999252752704,1.278167118555864,0.8857879234167894,0.0,1.7763568394002505e-15
full_vits_no_tone_200_vs_full_vits_tone_200,wer,50,2.288056722689076,1.9682668067226892,-0.31978991596638656,-0.09375,500.5,0.36925649718069675
full_vits_no_tone_200_vs_full_vits_tone_200,cer,50,1.8090999252752704,1.4929374077799502,-0.3161625174953202,-0.03967265611101223,530.0,0.4118446292938597
